Original Instance,Chunk File,Cost,Exec Time (s),Status/Notes
Emilia-Romagna,Emilia-Romagna_chunk_182.vrp,5354580.0,180.06,OK
Emilia-Romagna,Emilia-Romagna_chunk_183.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_184.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_185.vrp,1818380.0,181.37,OK
Emilia-Romagna,Emilia-Romagna_chunk_186.vrp,3133260.0,182.88,OK
Emilia-Romagna,Emilia-Romagna_chunk_187.vrp,4437740.0,180.14,OK
Emilia-Romagna,Emilia-Romagna_chunk_188.vrp,3933280.0,180.06,OK
Emilia-Romagna,Emilia-Romagna_chunk_189.vrp,2369310.0,180.18,OK
Emilia-Romagna,Emilia-Romagna_chunk_19.vrp,2012660.0,180.05,OK
Emilia-Romagna,Emilia-Romagna_chunk_190.vrp,7528170.0,186.46,OK
Emilia-Romagna,Emilia-Romagna_chunk_191.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_192.vrp,6038590.0,180.16,OK
Emilia-Romagna,Emilia-Romagna_chunk_193.vrp,6419360.0,188.17,OK
Emilia-Romagna,Emilia-Romagna_chunk_194.vrp,3137540.0,180.15,OK
Emilia-Romagna,Emilia-Romagna_chunk_195.vrp,6752070.0,180.58,OK
Emilia-Romagna,Emilia-Romagna_chunk_196.vrp,7112610.0,180.44,OK
Emilia-Romagna,Emilia-Romagna_chunk_197.vrp,8204410.0,180.53,OK
Emilia-Romagna,Emilia-Romagna_chunk_198.vrp,15484600.0,181.04,OK
Emilia-Romagna,Emilia-Romagna_chunk_199.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_2.vrp,6311140.0,187.46,OK
Emilia-Romagna,Emilia-Romagna_chunk_20.vrp,3057540.0,180.2,OK
Emilia-Romagna,Emilia-Romagna_chunk_200.vrp,1592650.0,181.09,OK
Emilia-Romagna,Emilia-Romagna_chunk_201.vrp,5826900.0,181.65,OK
Emilia-Romagna,Emilia-Romagna_chunk_202.vrp,10325400.0,181.48,OK
Emilia-Romagna,Emilia-Romagna_chunk_203.vrp,5745460.0,180.33,OK
Emilia-Romagna,Emilia-Romagna_chunk_204_sweep_0.vrp,11053900.0,180.59,OK
Emilia-Romagna,Emilia-Romagna_chunk_204_sweep_1.vrp,10935300.0,180.35,OK
Emilia-Romagna,Emilia-Romagna_chunk_204_sweep_2.vrp,10963300.0,180.18,OK
Emilia-Romagna,Emilia-Romagna_chunk_204_sweep_3.vrp,10991900.0,182.41,OK
Emilia-Romagna,Emilia-Romagna_chunk_204_sweep_4.vrp,11207900.0,181.77,OK
Emilia-Romagna,Emilia-Romagna_chunk_204_sweep_5.vrp,11255500.0,180.32,OK
Emilia-Romagna,Emilia-Romagna_chunk_205_sweep_0.vrp,11863300.0,181.46,OK
Emilia-Romagna,Emilia-Romagna_chunk_205_sweep_1.vrp,11909800.0,181.36,OK
Emilia-Romagna,Emilia-Romagna_chunk_205_sweep_2.vrp,11817800.0,180.57,OK
Emilia-Romagna,Emilia-Romagna_chunk_205_sweep_3.vrp,11532000.0,180.32,OK
Emilia-Romagna,Emilia-Romagna_chunk_206.vrp,5933120.0,180.19,OK
Emilia-Romagna,Emilia-Romagna_chunk_207.vrp,3905870.0,183.61,OK
Emilia-Romagna,Emilia-Romagna_chunk_208.vrp,4818850.0,180.1,OK
Emilia-Romagna,Emilia-Romagna_chunk_209.vrp,997679.0,180.08,OK
Emilia-Romagna,Emilia-Romagna_chunk_21.vrp,ERROR,0,Sweep Failed - Reverted
Emilia-Romagna,Emilia-Romagna_chunk_210.vrp,2555650.0,180.3,OK
Emilia-Romagna,Emilia-Romagna_chunk_211.vrp,2052450.0,186.09,OK
Emilia-Romagna,Emilia-Romagna_chunk_212.vrp,3852000.0,180.16,OK
Emilia-Romagna,Emilia-Romagna_chunk_213.vrp,3601380.0,180.95,OK
Emilia-Romagna,Emilia-Romagna_chunk_214.vrp,6367920.0,180.36,OK
Emilia-Romagna,Emilia-Romagna_chunk_215.vrp,6020280.0,181.97,OK
Emilia-Romagna,Emilia-Romagna_chunk_216_sweep_0.vrp,10389800.0,180.17,OK
Emilia-Romagna,Emilia-Romagna_chunk_216_sweep_1.vrp,10460700.0,180.46,OK
Emilia-Romagna,Emilia-Romagna_chunk_216_sweep_2.vrp,10535900.0,180.16,OK
Emilia-Romagna,Emilia-Romagna_chunk_216_sweep_3.vrp,10610000.0,180.23,OK
Emilia-Romagna,Emilia-Romagna_chunk_217.vrp,7781700.0,180.33,OK
Emilia-Romagna,Emilia-Romagna_chunk_218.vrp,6000980.0,183.71,OK
Emilia-Romagna,Emilia-Romagna_chunk_219.vrp,2358390.0,181.83,OK
Emilia-Romagna,Emilia-Romagna_chunk_22.vrp,8692870.0,184.16,OK
Emilia-Romagna,Emilia-Romagna_chunk_220.vrp,6109910.0,180.29,OK
Emilia-Romagna,Emilia-Romagna_chunk_221.vrp,7551930.0,180.25,OK
Emilia-Romagna,Emilia-Romagna_chunk_222.vrp,10555600.0,180.68,OK
Emilia-Romagna,Emilia-Romagna_chunk_223.vrp,2111360.0,180.32,OK
Emilia-Romagna,Emilia-Romagna_chunk_224.vrp,5629740.0,183.97,OK
Emilia-Romagna,Emilia-Romagna_chunk_225.vrp,4731290.0,180.47,OK
Emilia-Romagna,Emilia-Romagna_chunk_226.vrp,9047950.0,184.24,OK
Emilia-Romagna,Emilia-Romagna_chunk_227.vrp,5491020.0,182.34,OK
Emilia-Romagna,Emilia-Romagna_chunk_228.vrp,4765700.0,181.84,OK
Emilia-Romagna,Emilia-Romagna_chunk_229.vrp,4780830.0,182.96,OK
Emilia-Romagna,Emilia-Romagna_chunk_23.vrp,8727370.0,180.66,OK
Emilia-Romagna,Emilia-Romagna_chunk_230.vrp,8586160.0,180.89,OK
Emilia-Romagna,Emilia-Romagna_chunk_231_sweep_0.vrp,11935700.0,181.04,OK
Emilia-Romagna,Emilia-Romagna_chunk_231_sweep_1.vrp,12182000.0,180.26,OK
Emilia-Romagna,Emilia-Romagna_chunk_231_sweep_2.vrp,12047100.0,180.96,OK
Emilia-Romagna,Emilia-Romagna_chunk_231_sweep_3.vrp,12111700.0,180.67,OK
Emilia-Romagna,Emilia-Romagna_chunk_231_sweep_4.vrp,12451500.0,182.32,OK
Emilia-Romagna,Emilia-Romagna_chunk_232.vrp,12400700.0,183.37,OK
Emilia-Romagna,Emilia-Romagna_chunk_233.vrp,1391170.0,180.11,OK
Emilia-Romagna,Emilia-Romagna_chunk_234.vrp,3026250.0,180.06,OK
Emilia-Romagna,Emilia-Romagna_chunk_235.vrp,ERROR,0,"Crash: Command '['/home/ubuntu/cvrp/baselines/HGS-CVRP/build/hgs', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_235.vrp', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_235.sol', '-t', '180', '-seed', '42']' timed out after 190 seconds"
Emilia-Romagna,Emilia-Romagna_chunk_236.vrp,5098410.0,180.17,OK
Emilia-Romagna,Emilia-Romagna_chunk_237.vrp,1225950.0,180.28,OK
Emilia-Romagna,Emilia-Romagna_chunk_238.vrp,2062530.0,180.34,OK
