Instance Name,Size (N),BKS,HGS Cost,HGS Time (s),HGS Peak Memory (MB),HGS Status,FILO2 Cost,FILO2 Time (s),FILO2 Peak Memory (MB),FILO2 Status
X-n270-k35.vrp,270,35291.0,35303.0,2700.06,6.7,OK,35353.0,41.34,18.93,OK
X-n275-k28.vrp,275,21245.0,21245.0,2700.06,6.59,OK,21245.0,65.19,27.68,OK
X-n280-k17.vrp,280,33503.0,33506.0,2700.06,6.33,OK,33631.0,39.72,16.29,OK
X-n284-k15.vrp,284,20226.0,20240.0,2700.08,6.18,OK,20248.0,47.29,21.55,OK
X-n289-k60.vrp,289,95151.0,95244.0,2700.09,7.68,OK,95609.0,63.34,14.35,OK
X-n294-k50.vrp,294,47161.0,47172.0,2700.12,7.48,OK,47360.0,38.34,16.28,OK
X-n298-k31.vrp,298,34231.0,34231.0,2700.08,6.75,OK,34349.0,33.94,15.48,OK
X-n303-k21.vrp,303,21736.0,21738.0,2700.04,6.59,OK,21862.0,52.8,37.17,OK
X-n308-k13.vrp,308,25859.0,25862.0,2700.11,6.39,OK,25876.0,39.22,16.89,OK
X-n313-k71.vrp,313,94043.0,94051.0,2700.09,8.39,OK,94565.0,51.44,14.05,OK
X-n317-k53.vrp,317,78355.0,78355.0,2700.09,7.82,OK,78363.0,104.37,23.76,OK
X-n322-k28.vrp,322,29834.0,29848.0,2700.04,6.96,OK,29967.0,47.24,25.77,OK
X-n327-k20.vrp,327,27532.0,27532.0,2700.1,6.81,OK,27679.0,43.86,13.82,OK
X-n331-k15.vrp,331,31102.0,31103.0,2700.11,6.7,OK,31105.0,52.82,18.12,OK
X-n336-k84.vrp,336,139111.0,139272.0,2700.09,9.11,OK,139627.0,37.9,9.96,OK
X-n344-k43.vrp,344,42050.0,42064.0,2700.11,7.82,OK,42286.0,93.24,16.36,OK
X-n351-k40.vrp,351,25896.0,25952.0,2700.07,7.72,OK,26006.0,103.11,13.43,OK
X-n359-k29.vrp,359,51505.0,51574.0,2700.12,7.49,OK,51791.0,116.9,11.19,OK
X-n367-k17.vrp,367,22814.0,22814.0,2700.1,7.12,OK,22849.0,139.34,23.99,OK
X-n376-k94.vrp,376,147713.0,147713.0,2700.11,9.98,OK,147722.0,455.32,21.44,OK
X-n384-k52.vrp,384,65940.0,66038.0,2700.12,8.56,OK,66094.0,145.21,12.6,OK
X-n393-k38.vrp,393,38260.0,38260.0,2700.12,8.02,OK,38301.0,130.86,14.03,OK
X-n401-k29.vrp,401,66154.0,66213.0,2700.1,7.86,OK,66369.0,160.06,15.38,OK
X-n411-k19.vrp,411,19712.0,19717.0,2700.14,7.61,OK,19780.0,98.18,12.2,OK
X-n420-k130.vrp,420,107798.0,107862.0,2700.11,12.24,OK,108014.0,125.46,11.86,OK
X-n429-k61.vrp,429,65449.0,65480.0,2700.12,9.62,OK,65655.0,129.79,14.66,OK
X-n439-k37.vrp,439,36391.0,36395.0,2700.11,8.61,OK,36395.0,163.82,18.09,OK
X-n449-k29.vrp,449,55233.0,55349.0,2700.07,8.5,OK,55585.0,119.71,11.98,OK
X-n459-k26.vrp,459,24139.0,24160.0,2700.11,8.4,OK,24228.0,145.04,16.05,OK
X-n469-k138.vrp,469,221824.0,222074.0,2700.12,13.72,OK,223865.0,167.15,10.55,OK
X-n480-k70.vrp,480,89449.0,89468.0,2700.09,10.62,OK,89685.0,150.79,15.0,OK
X-n491-k59.vrp,491,66483.0,66531.0,2700.1,10.39,OK,66937.0,133.61,15.0,OK
X-n502-k39.vrp,502,69226.0,69265.0,2700.11,9.62,OK,69266.0,157.94,34.71,OK
X-n513-k21.vrp,513,24201.0,24201.0,2700.1,8.8,OK,24277.0,51.07,22.79,OK
X-n524-k153.vrp,524,154593.0,154755.0,2700.1,14.88,OK,155232.0,54.33,9.92,OK
X-n536-k96.vrp,536,94846.0,95101.0,2700.05,13.05,OK,95683.0,62.94,13.07,OK
X-n548-k50.vrp,548,86700.0,86792.0,2700.1,10.77,OK,86830.0,69.65,15.7,OK
X-n561-k42.vrp,561,42717.0,42719.0,2700.08,10.47,OK,42991.0,45.66,14.75,OK
X-n573-k30.vrp,573,50673.0,50770.0,2700.09,10.17,OK,50895.0,59.54,12.41,OK
X-n586-k159.vrp,586,190316.0,190455.0,2700.11,17.54,OK,191346.0,62.47,10.79,OK
X-n599-k92.vrp,599,108451.0,108617.0,2700.09,14.03,OK,109050.0,56.4,13.72,OK
X-n613-k62.vrp,613,59535.0,59632.0,2700.08,12.45,OK,59968.0,38.98,13.87,OK
X-n627-k43.vrp,627,62164.0,62365.0,2700.12,11.7,OK,62291.0,52.5,11.47,OK
X-n641-k35.vrp,641,63684.0,63867.0,2700.09,11.41,OK,63855.0,48.0,14.96,OK
X-n655-k131.vrp,655,106780.0,106818.0,2700.09,17.48,OK,106841.0,113.69,25.24,OK
X-n670-k130.vrp,670,146332.0,146813.0,2700.07,17.63,OK,148144.0,52.03,12.13,OK
X-n685-k75.vrp,685,68205.0,68344.0,2700.12,14.55,OK,68704.0,48.94,22.58,OK
X-n701-k44.vrp,701,81923.0,82352.0,2700.1,12.89,OK,82261.0,53.84,14.55,OK
X-n716-k35.vrp,716,43373.0,43489.0,2700.06,12.62,OK,43622.0,48.89,14.34,OK
X-n733-k159.vrp,733,136187.0,136457.0,2700.08,21.4,OK,136655.0,51.1,13.57,OK
X-n749-k98.vrp,749,77269.0,77796.0,2700.07,17.45,OK,77773.0,42.71,12.32,OK
