Instance Name,Size (N),Seed,Peak Memory (MB),Exec Time (s),Cost,Notes/Hardware
X-n322-k28.vrp,322,0,25.77,47.24,29967.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n327-k20.vrp,327,0,13.82,43.86,27679.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n331-k15.vrp,331,0,18.12,52.82,31105.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n336-k84.vrp,336,0,9.96,37.9,139627.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n344-k43.vrp,344,0,16.36,93.24,42286.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n351-k40.vrp,351,0,13.43,103.11,26006.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n359-k29.vrp,359,0,11.19,116.9,51791.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n367-k17.vrp,367,0,23.99,139.34,22849.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n376-k94.vrp,376,0,21.44,455.32,147722.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n384-k52.vrp,384,0,12.6,145.21,66094.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n393-k38.vrp,393,0,14.03,130.86,38301.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n401-k29.vrp,401,0,15.38,160.06,66369.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n411-k19.vrp,411,0,12.2,98.18,19780.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n420-k130.vrp,420,0,11.86,125.46,108014.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n429-k61.vrp,429,0,14.66,129.79,65655.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n439-k37.vrp,439,0,18.09,163.82,36395.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n449-k29.vrp,449,0,11.98,119.71,55585.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n459-k26.vrp,459,0,16.05,145.04,24228.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n469-k138.vrp,469,0,10.55,167.15,223865.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n480-k70.vrp,480,0,15.0,150.79,89685.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n491-k59.vrp,491,0,15.0,133.61,66937.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n502-k39.vrp,502,0,34.71,157.94,69266.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n513-k21.vrp,513,0,22.79,51.07,24277.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n524-k153.vrp,524,0,9.92,54.33,155232.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n536-k96.vrp,536,0,13.07,62.94,95683.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n548-k50.vrp,548,0,15.7,69.65,86830.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n561-k42.vrp,561,0,14.75,45.66,42991.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n573-k30.vrp,573,0,12.41,59.54,50895.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n586-k159.vrp,586,0,10.79,62.47,191346.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n599-k92.vrp,599,0,13.72,56.4,109050.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n613-k62.vrp,613,0,13.87,38.98,59968.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n627-k43.vrp,627,0,11.47,52.5,62291.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n641-k35.vrp,641,0,14.96,48.0,63855.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n655-k131.vrp,655,0,25.24,113.69,106841.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n670-k130.vrp,670,0,12.13,52.03,148144.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n685-k75.vrp,685,0,22.58,48.94,68704.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n701-k44.vrp,701,0,14.55,53.84,82261.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n716-k35.vrp,716,0,14.34,48.89,43622.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n733-k159.vrp,733,0,13.57,51.1,136655.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n749-k98.vrp,749,0,12.32,42.71,77773.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n766-k71.vrp,766,0,12.6,46.36,115134.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n783-k48.vrp,783,0,15.52,58.25,72683.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n801-k40.vrp,801,0,16.14,55.58,73442.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n819-k171.vrp,819,0,14.26,55.37,159258.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n837-k142.vrp,837,0,14.7,66.73,194863.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n856-k95.vrp,856,0,21.82,74.61,89174.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n876-k59.vrp,876,0,14.46,54.31,99801.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n895-k37.vrp,895,0,14.9,49.46,54208.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n916-k207.vrp,916,0,13.11,52.2,331388.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n936-k151.vrp,936,0,13.97,41.93,133564.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n957-k87.vrp,957,0,19.54,65.5,85581.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n979-k58.vrp,979,0,15.04,68.56,119352.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
X-n1001-k43.vrp,1001,0,14.86,48.71,72751.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
XML1000000_2324_01.vrp,1000001,0,6252.71,897.94,58338031430.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
XML1000000_3163_02.vrp,1000001,0,6098.81,908.88,168100413900.0,"Local janay (Intel64 Family 6 Model 183 Stepping 1, GenuineIntel, 15.7GB RAM)"
